dt_referencia;no_indice;nu_indice;var_diaria_perc;var_mensal_perc;var_anual_perc;var_ult_12_meses_perc;var_ult_24_meses_perc;peso_perc;duration_du;carteira_mercado_reais_mil;nu_operacoes;qt_negociada_1000_tit;vr_negociado_reais_mil;pmr;convexidade;yield;redemption_yield
2017-08-04;IMA-B 5;5.019,195596000000;-0,0158;0,3179;8,8184;13,5436;32,8285;11,10;698.0;365.791.381;698;3.498,79;11.261.444,09;1.031;11,6629;4,0688;4,3074
2017-08-04;IMA-B;5.404,120982000000;0,1347;1,1395;10,9214;15,6146;40,8993;28,90;2.025;952.617.849;933;4.227,92;13.721.480,49;3.6919999999999997;128,9421;4,6628;4,9826
2017-08-07;IMA-GERAL ex-C;4.617,819636000000;-0,0895;0,4560;9,6334;15,2538;37,5127;97,07;824.0;3.196.790.349;1.060;7.641,67;13.177.135,84;1.4369999999999998;41,9463;--;--
2017-08-07;IMA-S;4.016,417335000000;0,0349;0,1748;6,8585;12,5369;28,2198;31,88;1.0;1.049.767.445;309;94,74;852.917,71;1.0;0,0000;--;--
2017-08-07;IMA-C;5.249,509948000000;-0,1773;0,8239;7,4604;5,3892;37,8458;2,93;1.694;96.330.942;--;--;--;2.716;65,6018;4,8106;4,9183
2017-08-07;IMA-B;5.391,872849000000;-0,2266;0,9102;10,6700;14,9130;44,2251;28,86;2.019;950.458.795;557;2.272,79;7.309.262,87;3.685;128,2837;4,6954;5,0149
2017-08-07;IMA-B 5+;6.302,157449000000;-0,3207;1,3324;11,8994;16,0763;50,7957;17,76;2.845;584.944.691;250;788,84;2.589.353,19;5.345;201,1807;5,0670;5,1176
2017-08-07;IRF-M;10.523,074976000000;-0,0893;0,3416;11,1197;17,7765;39,8633;36,34;597.0;1.196.564.110;194;5.274,14;5.014.955,25;910.0;10,1667;8,7095;9,1283
2017-08-07;IMA-GERAL;4.644,823850000000;-0,0921;0,4667;9,5543;14,8651;37,5553;100,00;849.0;3.293.121.292;1.060;7.641,67;13.177.135,84;1.474;42,6383;--;--
2017-08-07;IMA-B 5;5.015,390942000000;-0,0758;0,2419;8,7360;13,2877;33,7723;11,10;697.0;365.514.103;405;1.967,96;6.292.411,99;1.028;11,6243;4,1007;4,3439
2017-08-07;IRF-M 1;9.505,441269000000;0,0268;0,1875;7,5627;13,3810;30,2449;9,32;126.0;306.947.961;29;1.435,08;1.398.180,59;186.0;0,7044;8,2069;8,0386
2017-08-07;IRF-M 1+;11.420,940571000000;-0,1294;0,3951;12,4177;19,4680;45,1890;27,01;759.0;889.616.149;165;3.839,05;3.616.774,66;1.16;13,4316;8,8830;9,1909
2017-08-08;IMA-B 5;5.021,603374000000;0,1239;0,3660;8,8706;13,4102;33,9380;11,11;696.0;365.966.856;148;806,94;2.582.170,48;1.0270000000000001;11,6127;4,0565;4,3055
2017-08-08;IMA-GERAL;4.646,073695000000;0,0269;0,4938;9,5838;14,9725;37,5923;100,00;848.0;3.294.007.416;647;6.710,74;10.121.538,13;1.473;42,5949;--;--
2017-08-08;IRF-M 1;9.509,035728000000;0,0378;0,2253;7,6034;13,3711;30,2941;9,32;125.0;307.064.033;33;1.050,56;1.026.803,50;185.0;0,6978;8,1935;8,0231
2017-08-08;IMA-GERAL ex-C;4.619,031848000000;0,0263;0,4824;9,6621;15,3515;37,5488;97,07;823.0;3.197.629.531;645;6.700,74;10.063.426,49;1.436;41,9034;--;--
2017-08-08;IRF-M;10.520,644134000000;-0,0231;0,3185;11,0940;17,8553;39,8309;36,32;595.0;1.196.287.702;167;5.427,71;4.680.823,70;909.0;10,1263;8,7189;9,1544
2017-08-08;IMA-B;5.396,120670000000;0,0788;0,9897;10,7572;15,1377;44,3387;28,88;2.017;951.207.584;283;1.054,86;3.417.814,72;3.682;128,1291;4,6739;5,0076
2017-08-08;IMA-B 5+;6.305,346934000000;0,0506;1,3837;11,9560;16,3680;50,8720;17,77;2.843;585.240.728;196;473,14;1.566.755,40;5.3420000000000005;200,9900;5,0600;5,1151
2017-08-08;IMA-S;4.017,820713000000;0,0349;0,2098;6,8958;12,5170;28,2646;31,88;1.0;1.050.134.245;195;218,16;1.964.788,07;1.0;0,0000;--;--
2017-08-08;IMA-C;5.252,068060000000;0,0487;0,8730;7,5127;5,7194;37,9129;2,93;1.693;96.377.885;2;10,00;58.111,64;2.715;65,5399;4,8024;4,9143
2017-08-08;IRF-M 1+;11.415,901900000000;-0,0441;0,3509;12,3681;19,6022;45,1250;27,00;758.0;889.223.669;134;4.377,15;3.654.020,20;1.158;13,3822;8,9004;9,2190
2017-08-09;IMA-GERAL ex-C;4.616,263359000000;-0,0599;0,4222;9,5964;15,0090;37,4663;97,08;821.0;3.195.712.981;981;9.123,32;21.374.635,42;1.4340000000000002;41,7657;--;--
2017-08-09;IRF-M 1+;11.393,757179000000;-0,1940;0,1562;12,1501;18,9908;44,8434;26,96;756.0;887.498.741;102;2.372,15;1.999.303,86;1.157;13,3070;8,9739;9,3013
2017-08-09;IRF-M 1;9.511,850808000000;0,0296;0,2550;7,6353;13,3238;30,3327;9,33;124.0;307.154.937;36;1.922,38;1.889.242,72;184.0;0,6909;8,1928;8,0253
2017-08-09;IMA-GERAL;4.643,176688000000;-0,0624;0,4311;9,5154;14,6201;37,5065;100,00;846.0;3.291.953.474;981;9.123,32;21.374.635,42;1.4709999999999999;42,4572;--;--
2017-08-09;IRF-M;10.506,273856000000;-0,1366;0,1814;10,9423;17,4151;39,6400;36,29;593.0;1.194.653.678;138;4.294,53;3.888.546,58;906.0;10,0633;8,7731;9,2326
2017-08-09;IMA-B 5;5.020,614840000000;-0,0197;0,3463;8,8492;13,2554;33,9117;11,11;695.0;365.894.813;503;3.755,05;12.048.836,57;1.026;11,5681;4,1102;4,3636
2017-08-09;IMA-B;5.392,441983000000;-0,0682;0,9209;10,6817;14,6068;44,2403;28,88;2.0140000000000002;950.559.119;647;4.499,63;14.520.857,38;3.68;127,7657;4,7110;5,0344
2017-08-09;IMA-B 5+;6.299,136598000000;-0,0985;1,2838;11,8458;15,5938;50,7234;17,76;2.839;584.664.306;342;2.327,16;7.615.651,04;5.341;200,4846;5,0870;5,1371
2017-08-09;IMA-C;5.244,580965000000;-0,1426;0,7292;7,3595;5,1226;37,7163;2,92;1.6909999999999998;96.240.493;--;--;--;2.714;65,4220;4,8345;4,9402
2017-08-09;IMA-S;4.019,220800000000;0,0348;0,2447;6,9331;12,4971;28,3093;31,91;1.0;1.050.500.184;196;329,16;2.965.231,47;1.0;0,0000;--;--
2017-08-10;IRF-M 1;9.514,412470000000;0,0269;0,2820;7,6642;13,2992;30,2353;9,35;123.0;307.237.657;30;728,66;711.490,38;183.0;0,6840;8,1990;8,0335
2017-08-10;IMA-B;5.375,892643000000;-0,3069;0,6111;10,3420;14,0112;43,0748;28,82;2.005;947.641.865;568;3.244,49;10.431.329,65;3.6719999999999997;126,7687;4,7548;5,0782
2017-08-10;IMA-C;5.236,796731000000;-0,1484;0,5797;7,2001;4,7115;36,8186;2,92;1.689;96.097.649;--;--;--;2.7119999999999997;65,2715;4,8630;4,9670
2017-08-10;IMA-S;4.020,625399000000;0,0349;0,2798;6,9704;12,4773;28,2867;31,96;1.0;1.050.867.303;204;149,55;1.347.721,45;1.0;0,0000;--;--
2017-08-10;IMA-GERAL ex-C;4.610,349751000000;-0,1281;0,2935;9,4560;14,7544;36,8610;97,08;817.0;3.191.619.152;993;10.449,38;17.688.331,57;1.429;41,3788;--;--
2017-08-10;IMA-B 5;5.015,610841000000;-0,0997;0,2463;8,7407;12,9115;33,5425;11,12;693.0;365.530.129;415;2.765,34;8.837.556,15;1.025;11,5270;4,1571;4,4120
2017-08-10;IRF-M;10.492,697984000000;-0,1292;0,0520;10,7989;17,2411;39,0190;36,29;591.0;1.193.109.984;221;7.055,34;5.909.280,47;904.0;10,0026;8,8245;9,3078
2017-08-10;IMA-B 5+;6.271,635361000000;-0,4366;0,8416;11,3575;14,8367;49,0862;17,71;2.8289999999999997;582.111.735;284;1.057,24;3.472.834,59;5.335;199,1333;5,1301;5,1807
2017-08-10;IRF-M 1+;11.372,877186000000;-0,1833;-0,0273;11,9446;18,7673;43,9033;26,94;754.0;885.872.327;191;6.326,68;5.197.790,09;1.155;13,2344;9,0414;9,3801
2017-08-10;IMA-GERAL;4.637,201019000000;-0,1287;0,3019;9,3745;14,3589;36,8901;100,00;842.0;3.287.716.801;993;10.449,38;17.688.331,57;1.466;42,0772;--;--
2017-08-11;IMA-S;4.022,022526000000;0,0347;0,3146;7,0076;12,4574;28,2637;31,96;1.0;1.051.232.469;232;99,04;892.980,24;1.0;0,0000;--;--
2017-08-11;IRF-M 1+;11.389,119382000000;0,1428;0,1154;12,1045;18,9556;43,7019;26,97;753.0;887.137.487;153;4.569,20;4.065.417,17;1.1540000000000001;13,2367;9,0046;9,3415
2017-08-11;IRF-M 1;9.518,409969000000;0,0420;0,3241;7,7095;13,2941;30,1678;9,34;122.0;307.366.744;46;3.477,53;3.397.003,22;182.0;0,6777;8,1781;8,0082
2017-08-11;IMA-B 5;5.019,803520000000;0,0836;0,3301;8,8316;12,8715;33,5175;11,12;692.0;365.835.685;501;1.943,03;6.212.543,92;1.024;11,5109;4,1367;4,3912
2017-08-11;IRF-M;10.504,959561000000;0,1169;0,1689;10,9284;17,3726;38,8969;36,32;591.0;1.194.504.231;199;8.046,73;7.462.420,39;904.0;10,0050;8,7919;9,2705
2017-08-11;IMA-C;5.235,561375000000;-0,0236;0,5560;7,1748;4,5306;36,6462;2,92;1.6869999999999998;96.074.979;--;--;--;2.7110000000000003;65,1675;4,8712;4,9771
2017-08-11;IMA-B 5+;6.265,121853000000;-0,1039;0,7369;11,2418;14,1708;48,7132;17,68;2.824;581.507.174;376;1.065,93;3.509.464,74;5.33;198,4963;5,1382;5,1932
2017-08-11;IMA-B;5.374,196410000000;-0,0316;0,5794;10,3072;13,5892;42,8400;28,80;2.001;947.342.859;725;2.580,60;8.332.460,49;3.667;126,2881;4,7515;5,0860
2017-08-11;IMA-GERAL;4.639,228894000000;0,0437;0,3457;9,4223;14,2593;36,7516;100,00;840.0;3.289.154.539;1.156;10.726,36;16.687.861,12;1.464;41,9105;--;--
2017-08-11;IMA-GERAL ex-C;4.612,459334000000;0,0458;0,3394;9,5061;14,6577;36,7231;97,08;815.0;3.193.079.559;1.156;10.726,36;16.687.861,12;1.4269999999999998;41,2107;--;--
2017-08-14;IMA-GERAL;4.639,689091000000;0,0099;0,3557;9,4332;14,2206;36,1793;100,00;839.0;3.289.480.812;855;9.449,78;17.411.143,19;1.4609999999999999;41,8323;--;--
2017-08-14;IMA-B 5;5.019,739061000000;-0,0013;0,3288;8,8302;12,7428;33,3209;11,12;691.0;365.830.988;334;2.730,27;8.743.023,49;1.021;11,4843;4,1502;4,4024
2017-08-14;IMA-B 5+;6.261,591996000000;-0,0563;0,6802;11,1791;14,0762;47,2961;17,67;2.822;581.179.545;232;1.434,35;4.690.180,33;5.327000000000001;198,2669;5,1467;5,2015
2017-08-14;IRF-M 1;9.521,421373000000;0,0316;0,3559;7,7436;13,2698;29,9803;9,35;121.0;307.463.988;29;1.761,86;1.699.699,32;179.0;0,6710;8,1755;8,0059
2017-08-14;IMA-GERAL ex-C;4.612,992516000000;0,0116;0,3510;9,5188;14,6158;36,1587;97,08;814.0;3.193.448.666;855;9.449,78;17.411.143,19;1.4240000000000002;41,1339;--;--
2017-08-14;IMA-S;4.023,429323000000;0,0350;0,3497;7,0450;12,4374;28,1063;31,97;1.0;1.051.600.162;210;128,32;1.157.368,39;1.0;0,0000;--;--
2017-08-14;IRF-M 1+;11.392,155542000000;0,0267;0,1421;12,1343;18,9573;42,9464;26,98;752.0;887.373.984;142;4.214,69;3.781.232,55;1.151;13,2107;9,0061;9,3447
2017-08-14;IMA-B;5.372,311147000000;-0,0351;0,5441;10,2685;13,4815;41,8445;28,79;1.999;947.010.532;474;3.344,91;10.772.842,92;3.6639999999999997;126,1127;4,7617;5,0947
2017-08-14;IMA-C;5.233,227198000000;-0,0446;0,5111;7,1270;4,5469;35,8614;2,92;1.685;96.032.146;--;--;--;2.707;65,0568;4,8798;4,9880
2017-08-14;IRF-M;10.507,894613000000;0,0279;0,1969;10,9594;17,3651;38,3839;36,32;590.0;1.194.837.972;171;5.976,54;5.480.931,87;901.0;9,9839;8,7923;9,2738
2017-08-15;IMA-B 5+;6.289,316570000000;0,4428;1,1259;11,6714;14,6619;47,9483;17,53;2.8739999999999997;574.486.499;372;1.904,19;6.087.420,93;5.371;202,5127;5,1102;5,1629
2017-08-15;IMA-B;5.388,375901000000;0,2990;0,8448;10,5982;13,8844;42,2686;28,51;2.037;934.490.672;583;3.010,46;9.581.868,84;3.7;128,9658;4,7362;5,0599
2017-08-15;IMA-C;5.241,279011000000;0,1539;0,6658;7,2919;4,4939;36,0704;2,93;1.685;96.179.901;--;--;--;2.707;65,0951;4,8609;4,9681
2017-08-15;IMA-S;4.024,829843000000;0,0348;0,3846;7,0823;12,4175;28,1509;32,09;1.0;1.051.966.215;291;100,86;910.224,13;1.0;0,0000;--;--
2017-08-15;IMA-GERAL ex-C;4.618,433862000000;0,1180;0,4694;9,6479;14,7113;36,3193;97,07;826.0;3.181.863.868;1.047;10.153,27;16.813.202,09;1.436;42,0404;--;--
2017-08-15;IMA-GERAL;4.645,210557000000;0,1190;0,4751;9,5634;14,3094;36,3414;100,00;851.0;3.278.043.768;1.047;10.153,27;16.813.202,09;1.473;42,7136;--;--
2017-08-15;IRF-M 1;9.524,515073000000;0,0325;0,3885;7,7786;13,2492;30,0225;9,38;120.0;307.563.889;41;2.650,18;2.575.970,32;178.0;0,6643;8,1684;8,0015
2017-08-15;IMA-B 5;5.023,286520000000;0,0707;0,3997;8,9071;12,8594;33,4151;10,98;703.0;360.004.173;371;2.189,48;6.913.427,10;1.036;11,6908;4,1399;4,3885
2017-08-15;IRF-M 1+;11.398,177971000000;0,0529;0,1951;12,1936;18,8720;43,0220;27,08;751.0;887.843.092;132;4.391,76;3.745.138,80;1.15;13,1898;8,9997;9,3383
2017-08-15;IRF-M;10.512,898710000000;0,0476;0,2446;11,0122;17,3032;38,4498;36,47;589.0;1.195.406.981;173;7.041,95;6.321.109,12;900.0;9,9672;8,7859;9,2680
2017-08-16;IRF-M 1;9.528,433471000000;0,0411;0,4298;7,8229;13,2481;30,0760;9,36;119.0;307.690.421;39.0;1.834,76;1.762.734,14;177.0;0,6580;8,1442;7,9773
2017-08-16;IRF-M 1+;11.405,387189000000;0,0632;0,2584;12,2646;18,8778;43,1125;27,01;750.0;888.404.642;141.0;10.641,52;9.493.296,79;1.149;13,1674;8,9866;9,3281
2017-08-16;IMA-GERAL ex-C;4.622,359354000000;0,0850;0,5548;9,7411;14,8121;36,4352;97,07;823.0;3.192.481.349;1.6119999999999999;17.895,57;29.059.747,99;1.429;41,7975;--;--
2017-08-16;IMA-C;5.252,194804000000;0,2083;0,8754;7,5153;4,8330;36,3538;2,93;1.686;96.380.211;3.0;2,33;8.741,23;2.707;65,1737;4,8344;4,9397
2017-08-16;IRF-M;10.518,949991000000;0,0576;0,3023;11,0761;17,3085;38,5295;36,37;588.0;1.196.095.063;180.0;12.476,28;11.256.030,94;899.0;9,9494;8,7699;9,2576
2017-08-16;IMA-S;4.026,232293000000;0,0348;0,4196;7,1196;12,3975;28,1956;32,00;1.0;1.052.332.772;204.0;91,51;825.948,47;1.0;0,0000;--;--
2017-08-16;IMA-B 5;5.026,998733000000;0,0739;0,4739;8,9876;12,9853;33,5137;12,07;739.0;396.870.221;716.0;4.104,36;12.965.127,04;1.089;12,6909;4,1875;4,4280
2017-08-16;IMA-B 5+;6.305,027442000000;0,2498;1,3786;11,9504;15,1422;48,3179;16,64;2.9760000000000004;547.183.293;512.0;1.223,42;4.012.641,54;5.5820000000000025;212,9096;5,1111;5,1532
2017-08-16;IMA-B;5.397,847572000000;0,1758;1,0220;10,7926;14,2279;42,5187;28,70;2.035;944.053.514;1.228;5.327,78;16.977.768,58;3.693;128,7398;4,7228;5,0425
2017-08-16;IMA-GERAL;4.649,326412000000;0,0886;0,5641;9,6605;14,4192;36,4622;100,00;848.0;3.288.861.560;1.615;17.897,91;29.068.489,22;1.4669999999999999;42,4825;--;--
2017-08-17;IRF-M 1;9.530,453926000000;0,0212;0,4511;7,8458;13,2135;30,0362;9,38;118.0;307.755.665;42;3.735,60;3.700.927,86;176.0;0,6511;8,1590;7,9986
2017-08-17;IMA-B 5;5.018,535187000000;-0,1684;0,3047;8,8041;12,8100;33,3951;12,08;737.0;396.202.043;464;2.659,78;8.400.033,48;1.088;12,6334;4,2537;4,5024
2017-08-17;IRF-M;10.491,179350000000;-0,2640;0,0375;10,7829;17,0035;38,2967;36,36;585.0;1.192.937.303;201;10.266,50;9.505.186,12;896.0;9,8520;8,8666;9,3959
2017-08-17;IMA-GERAL;4.637,920859000000;-0,2453;0,3174;9,3915;14,0807;36,0562;100,00;841.0;3.280.793.448;1.165;14.191,83;22.910.325,92;1.459;41,8783;--;--
2017-08-17;IRF-M 1+;11.364,010076000000;-0,3628;-0,1053;11,8573;18,4834;42,8786;26,98;748.0;885.181.638;159;6.530,90;5.804.258,26;1.146;13,0510;9,1126;9,4728
2017-08-17;IMA-GERAL ex-C;4.610,917330000000;-0,2475;0,3059;9,4695;14,4695;36,0320;97,07;816.0;3.184.578.795;1.165;14.191,83;22.910.325,92;1.421;41,1800;--;--
2017-08-17;IMA-C;5.243,172835000000;-0,1718;0,7022;7,3306;4,6116;35,9061;2,93;1.683;96.214.653;--;--;--;2.705;64,9918;4,8646;4,9705
2017-08-17;IMA-B;5.368,620806000000;-0,5415;0,4751;10,1927;13,4739;41,3888;28,62;2.022;938.941.915;772;3.775,03;12.048.107,55;3.681;127,1518;4,7947;5,1177
2017-08-17;IMA-B 5+;6.253,827248000000;-0,8121;0,5553;11,0413;13,9971;46,5203;16,54;2.96;542.739.872;308;1.115,25;3.648.074,06;5.574;210,7506;5,1897;5,2296
2017-08-17;IMA-S;4.027,635691000000;0,0349;0,4546;7,1569;12,3775;28,1727;32,09;1.0;1.052.699.577;192;150,30;1.357.032,25;1.0;0,0000;--;--
2017-08-18;IMA-B 5;5.030,523907000000;0,2389;0,5443;9,0640;13,1321;33,4630;12,08;737.0;397.148.526;355;2.344,15;7.409.637,24;1.087;12,6359;4,1845;4,4323
2017-08-18;IMA-GERAL;4.647,742127000000;0,2118;0,5299;9,6231;14,3557;36,0378;100,00;843.0;3.287.740.861;1.007;14.374,14;20.934.717,75;1.4609999999999999;42,0868;--;--
2017-08-18;IRF-M 1;9.536,234863000000;0,0607;0,5120;7,9112;13,2317;30,0381;9,37;117.0;307.942.342;62;2.779,69;2.703.617,47;175.0;0,6454;8,0986;7,9288
2017-08-18;IRF-M 1+;11.400,775957000000;0,3235;0,2179;12,2192;19,0035;43,1805;27,01;748.0;888.045.458;195;8.474,19;7.754.004,71;1.147;13,0966;9,0186;9,3685
2017-08-18;IMA-B 5+;6.282,285060000000;0,4550;1,0129;11,5466;14,6094;46,0759;16,58;2.965;545.209.590;189;682,94;2.226.044,55;5.574;211,4115;5,1480;5,1930
2017-08-18;IMA-C;5.249,348509000000;0,1178;0,8208;7,4571;4,7118;35,6370;2,93;1.683;96.327.980;--;--;--;2.7039999999999997;64,9814;4,8472;4,9561
2017-08-18;IMA-S;4.029,041325000000;0,0349;0,4897;7,1943;12,3577;28,1502;32,03;1.0;1.053.066.966;206;93,16;841.413,77;1.0;0,0000;--;--
2017-08-18;IMA-GERAL ex-C;4.620,812331000000;0,2146;0,5211;9,7044;14,7511;36,0225;97,07;818.0;3.191.412.882;1.007;14.374,14;20.934.717,75;1.4240000000000002;41,3958;--;--
2017-08-18;IRF-M;10.518,006673000000;0,2557;0,2933;11,0662;17,3763;38,5254;36,38;585.0;1.195.987.800;257;11.253,89;10.457.622,18;896.0;9,8907;8,7817;9,2942
2017-08-18;IMA-B;5.388,153734000000;0,3638;0,8406;10,5937;13,9666;41,1409;28,66;2.026;942.358.115;544;3.027,09;9.635.681,79;3.6830000000000003;127,6393;4,7420;5,0764
2017-08-21;IMA-C;5.240,069099000000;-0,1768;0,6425;7,2671;4,3769;36,5483;2,93;1.68;96.157.698;--;--;--;2.7;64,7935;4,8699;4,9829
2017-08-21;IRF-M 1;9.539,742885000000;0,0368;0,5490;7,9509;13,2068;29,8550;9,38;116.0;308.055.622;86;6.874,82;6.740.742,37;172.0;0,6390;8,0830;7,9136
2017-08-21;IRF-M 1+;11.380,357086000000;-0,1791;0,0384;12,0182;18,5251;43,1216;26,99;746.0;886.454.962;179;5.313,61;4.615.777,56;1.143;13,0251;9,0852;9,4468
2017-08-21;IRF-M;10.505,015436000000;-0,1235;0,1694;10,9290;17,0327;38,3650;36,37;584.0;1.194.510.585;265;12.188,42;11.356.519,94;892.0;9,8308;8,8267;9,3679
2017-08-21;IMA-B 5+;6.253,313136000000;-0,4612;0,5470;11,0321;13,9186;48,5625;16,53;2.9530000000000003;542.695.254;220;814,40;2.656.526,15;5.564;209,7632;5,1892;5,2380
2017-08-21;IMA-B;5.373,399398000000;-0,2738;0,5645;10,2908;13,5027;42,5952;28,62;2.016;939.777.664;712;3.309,16;10.564.001,85;3.6710000000000003;126,4567;4,7718;5,1170
2017-08-21;IMA-GERAL;4.642,286280000000;-0,1174;0,4119;9,4944;14,0789;36,4071;100,00;839.0;3.283.881.479;1.197;15.632,40;23.138.475,60;1.455;41,6625;--;--
2017-08-21;IMA-GERAL ex-C;4.615,470922000000;-0,1156;0,4049;9,5776;14,4763;36,3690;97,07;813.0;3.187.723.781;1.197;15.632,40;23.138.475,60;1.4169999999999998;40,9647;--;--
2017-08-21;IMA-S;4.030,451462000000;0,0350;0,5248;7,2319;12,3382;27,9886;32,08;1.0;1.053.435.532;220;134,82;1.217.953,81;1.0;0,0000;--;--
2017-08-21;IMA-B 5;5.029,686443000000;-0,0166;0,5276;9,0459;12,9820;33,3701;12,09;735.0;397.082.410;492;2.494,76;7.907.475,70;1.084;12,6010;4,2014;4,4529
2017-08-22;IMA-B 5+;6.252,832263000000;-0,0077;0,5393;11,0236;14,0794;48,5511;16,52;2.949;542.653.522;300;770,83;2.522.189,39;5.561;209,3508;5,1902;5,2426
2017-08-22;IRF-M;10.513,760325000000;0,0832;0,2528;11,0213;17,1617;38,4802;36,39;583.0;1.195.504.954;125;3.905,31;3.584.290,96;892.0;9,8228;8,8050;9,3457
2017-08-22;IMA-B;5.374,830114000000;0,0266;0,5913;10,3202;13,6477;42,6331;28,61;2.013;940.027.888;539;1.709,67;5.497.754,77;3.668;126,1718;4,7689;5,1190
2017-08-22;IMA-GERAL;4.644,620875000000;0,0503;0,4624;9,5495;14,1700;36,4757;100,00;837.0;3.285.532.935;883;5.759,99;10.392.614,28;1.453;41,5689;--;--
2017-08-22;IMA-B 5;5.033,384547000000;0,0735;0,6015;9,1261;13,0688;33,4681;12,09;735.0;397.374.367;239;938,84;2.975.565,38;1.083;12,5827;4,1935;4,4414
2017-08-22;IMA-S;4.031,857298000000;0,0349;0,5599;7,2693;12,3182;28,0333;32,07;1.0;1.053.802.975;219;145,01;1.310.568,56;1.0;0,0000;--;--
2017-08-22;IRF-M 1+;11.391,693676000000;0,0996;0,1381;12,1298;18,7187;43,2642;27,01;745.0;887.338.008;103;2.618,54;2.323.252,65;1.1420000000000001;13,0145;9,0606;9,4234
2017-08-22;IRF-M 1;9.543,190298000000;0,0361;0,5853;7,9899;13,1929;29,9019;9,38;115.0;308.166.946;22;1.286,77;1.261.038,30;171.0;0,6326;8,0690;7,8997
2017-08-22;IMA-GERAL ex-C;4.617,804971000000;0,0506;0,4557;9,6330;14,5649;36,4379;97,07;812.0;3.189.335.817;883;5.759,99;10.392.614,28;1.416;40,8700;--;--
2017-08-22;IMA-C;5.242,217293000000;0,0410;0,6838;7,3111;4,5171;36,6043;2,93;1.679;96.197.119;--;--;--;2.699;64,7382;4,8646;4,9802
2017-08-23;IMA-GERAL;4.651,347260000000;0,1448;0,6078;9,7081;14,3697;36,6734;100,00;838.0;3.290.291.077;952;6.555,16;12.757.036,80;1.454;41,6414;--;--
2017-08-23;IMA-GERAL ex-C;4.624,522569000000;0,1455;0,6018;9,7925;14,7671;36,6364;97,07;813.0;3.193.975.397;952;6.555,16;12.757.036,80;1.416;40,9444;--;--
2017-08-23;IMA-S;4.033,261401000000;0,0348;0,5949;7,3066;12,2990;28,0779;32,04;1.0;1.054.169.964;177;58,93;532.768,13;1.0;0,0000;--;--
2017-08-23;IRF-M 1;9.549,141888000000;0,0624;0,6481;8,0572;13,2027;29,9829;9,37;114.0;308.359.133;29;1.207,49;1.158.344,99;170.0;0,6271;8,0060;7,8232
2017-08-23;IMA-C;5.248,678215000000;0,1232;0,8079;7,4433;4,6551;36,7727;2,93;1.679;96.315.679;--;--;--;2.698;64,7550;4,8495;4,9646
2017-08-23;IMA-B 5+;6.266,996512000000;0,2265;0,7671;11,2751;14,5763;48,8876;16,53;2.951;543.882.769;308;1.088,34;3.550.799,92;5.56;209,5870;5,1710;5,2263
2017-08-23;IMA-B 5;5.037,927058000000;0,0902;0,6923;9,2245;13,0822;33,5886;12,09;734.0;397.732.988;307;1.633,86;5.157.965,79;1.083;12,5726;4,1913;4,4241
2017-08-23;IRF-M;10.537,370874000000;0,2246;0,4780;11,2707;17,4557;38,7912;36,42;582.0;1.198.189.676;160;3.774,04;3.515.502,96;891.0;9,8349;8,7163;9,2572
2017-08-23;IRF-M 1+;11.423,692974000000;0,2809;0,4193;12,4448;19,1300;43,6666;27,04;745.0;889.830.543;131;2.566,55;2.357.157,97;1.141;13,0258;8,9625;9,3335
2017-08-23;IMA-B;5.383,909126000000;0,1689;0,7612;10,5065;13,9699;42,8741;28,62;2.0140000000000002;941.615.757;615;2.722,19;8.708.765,71;3.6689999999999996;126,3693;4,7572;5,1028
2017-08-24;IMA-S;4.034,664940000000;0,0348;0,6299;7,3440;12,2809;28,0553;32,01;1.0;1.054.536.806;259;108,01;976.880,72;1.0;0,0000;--;--
2017-08-24;IMA-C;5.250,529838000000;0,0353;0,8435;7,4812;4,9055;37,4369;2,92;1.6780000000000002;96.349.658;--;--;--;2.697;64,7129;4,8479;4,9628
2017-08-24;IMA-GERAL;4.657,833472000000;0,1394;0,7481;9,8611;14,6425;37,3309;100,00;839.0;3.294.879.322;1.066;12.219,75;18.086.933,30;1.455;41,8078;--;--
2017-08-24;IMA-GERAL ex-C;4.631,116645000000;0,1426;0,7453;9,9490;15,0394;37,2921;97,08;814.0;3.198.529.665;1.066;12.219,75;18.086.933,30;1.4180000000000001;41,1178;--;--
2017-08-24;IMA-B;5.395,706607000000;0,2191;0,9820;10,7487;14,6006;44,0503;28,64;2.0180000000000002;943.679.071;584;2.902,39;9.247.735,51;3.6719999999999997;126,8446;4,7290;5,0746
2017-08-24;IMA-B 5+;6.286,828878000000;0,3165;1,0859;11,6272;15,5026;50,6160;16,56;2.955;545.603.926;252;649,72;2.136.973,69;5.561;210,2259;5,1419;5,1981
2017-08-24;IRF-M 1;9.554,186153000000;0,0528;0,7012;8,1143;13,2113;30,0302;9,36;113.0;308.522.022;36;1.688,94;1.626.782,92;169.0;0,6213;7,9607;7,7683
2017-08-24;IMA-B 5;5.042,261029000000;0,0860;0,7789;9,3185;13,1958;34,0102;12,08;733.0;398.075.145;332;2.252,66;7.110.761,82;1.082;12,5617;4,1631;4,3923
2017-08-24;IRF-M;10.556,051187000000;0,1773;0,6561;11,4679;17,6809;39,5350;36,43;582.0;1.200.313.788;223;9.209,36;7.862.317,07;891.0;9,8442;8,6529;9,1909
