dt_referencia;no_indice;nu_indice;var_diaria_perc;var_mensal_perc;var_anual_perc;var_ult_12_meses_perc;var_ult_24_meses_perc;peso_perc;duration_du;carteira_mercado_reais_mil;nu_operacoes;qt_negociada_1000_tit;vr_negociado_reais_mil;pmr;convexidade;yield;redemption_yield
2017-05-19;IRF-M 1+;10.654,409218000000;0,8594;-2,2172;4,8726;16,3740;35,0572;26,83;745.0;823.125.834;102;4.265,27;3.299.923,02;1.155;12,6463;10,6807;10,9522
2017-05-19;IMA-B 5;4.786,679155000000;0,8380;-1,0066;3,7774;10,8235;30,8653;9,37;664.0;287.454.701;807;3.360,22;10.184.050,31;979.0;10,1141;5,5221;5,6177
2017-05-19;IRF-M;9.928,369979000000;0,6951;-1,5398;4,8398;15,4275;33,1840;36,38;583.0;1.116.008.119;152;8.556,46;7.451.163,91;902.0;9,5127;10,4824;10,8818
2017-05-19;IMA-B 5+;5.832,337767000000;2,8308;-3,6358;3,5574;12,5759;31,6680;19,28;2.6460000000000004;591.344.780;896;2.846,26;8.633.811,46;5.055;176,9926;5,7705;5,7426
2017-05-19;IRF-M 1;9.261,371993000000;0,2362;0,4190;4,8009;13,5510;30,3881;9,55;129.0;292.882.285;50;4.291,19;4.151.240,89;190.0;0,7057;9,9250;9,7428
2017-05-19;IMA-C;5.021,379975000000;1,4062;-2,6617;2,7904;4,7914;27,1613;3,45;1.499;105.759.349;--;--;--;2.46;57,1884;5,9469;5,7463
2017-05-19;IMA-S;3.927,304880000000;0,0425;0,5972;4,4876;13,2591;29,0443;31,52;1.0;966.898.445;290;297,85;2.621.913,14;1.0;0,0000;--;--
2017-05-19;IMA-B;5.045,693738000000;2,1703;-2,8010;3,5646;11,7251;30,6018;28,65;1.9980000000000002;878.799.480;1.121;4.248,86;12.877.546,79;3.721;122,4068;5,6892;5,7290
2017-05-19;IMA-GERAL ex-C;4.396,953481000000;0,9125;-1,2180;4,3897;13,7028;30,9699;96,55;813.0;2.961.706.044;1.563;13.103,17;22.950.623,84;1.444;39,9051;--;--
2017-05-19;IMA-GERAL;4.423,586939000000;0,9295;-1,2684;4,3361;13,3572;30,8458;100,00;836.0;3.067.465.393;1.563;13.103,17;22.950.623,84;1.479;40,5010;--;--
2017-05-22;IMA-B 5;4.774,263483000000;-0,2594;-1,2634;3,5082;10,5535;29,8985;9,38;662.0;286.709.102;980;3.897,48;11.847.267,86;975.0;10,0488;5,6232;5,7391
2017-05-22;IRF-M;9.870,219287000000;-0,5857;-2,1165;4,2258;14,4140;31,5646;36,30;579.0;1.109.471.633;537;20.472,86;16.282.507,45;895.0;9,3578;10,7163;11,1812
2017-05-22;IRF-M 1+;10.569,826571000000;-0,7939;-2,9935;4,0401;14,9681;32,7802;26,72;741.0;816.591.247;509;19.316,13;15.156.146,85;1.15;12,4638;10,9766;11,2656
2017-05-22;IRF-M 1;9.261,311959000000;-0,0006;0,4184;4,8002;13,4946;30,1562;9,58;128.0;292.880.386;28;1.156,72;1.126.360,61;187.0;0,6979;9,9905;9,8237
2017-05-22;IMA-B;5.018,500737000000;-0,5389;-3,3248;3,0064;11,0403;28,1479;28,60;1.9869999999999999;874.063.324;1.268;4.890,22;14.910.805,38;3.7110000000000003;121,0861;5,7760;5,8073
2017-05-22;IMA-C;5.009,493002000000;-0,2367;-2,8921;2,5471;4,3164;25,7831;3,45;1.496;105.508.988;--;--;--;2.457;57,0244;6,0037;5,7862
2017-05-22;IMA-S;3.928,971240000000;0,0424;0,6399;4,5319;13,2473;28,9093;31,65;1.0;967.308.701;295;225,02;1.982.219,28;1.0;0,0000;--;--
2017-05-22;IMA-GERAL ex-C;4.380,827166000000;-0,3668;-1,5803;4,0068;13,1150;29,4969;96,55;806.0;2.950.843.658;2.100;25.588,09;33.175.532,11;1.436;39,3851;--;--
2017-05-22;IMA-GERAL;4.407,561265000000;-0,3623;-1,6261;3,9581;12,7731;29,3750;100,00;830.0;3.056.352.646;2.100;25.588,09;33.175.532,11;1.4709999999999999;39,9940;--;--
2017-05-22;IMA-B 5+;5.792,979545000000;-0,6748;-4,2861;2,8586;11,6693;28,5612;19,22;2.633;587.354.222;911;2.795,58;8.552.621,39;5.046;175,2875;5,8506;5,8157
2017-05-23;IMA-B;5.087,197227000000;1,3689;-2,0015;4,4164;13,7698;29,9020;28,78;2.011;886.028.069;1.008;4.769,40;14.532.638,92;3.7310000000000003;124,1651;5,5868;5,6317
2017-05-23;IMA-B 5+;5.894,205766000000;1,7474;-2,6136;4,6559;15,4410;30,8076;19,41;2.662;597.617.619;758;2.755,18;8.419.051,82;5.061;179,2187;5,6754;5,6452
2017-05-23;IMA-GERAL;4.440,100683000000;0,7383;-0,8998;4,7256;14,1714;30,3301;100,00;842.0;3.078.916.584;1.793;26.088,75;33.721.250,11;1.485;41,1679;--;--
2017-05-23;IRF-M 1;9.271,536558000000;0,1104;0,5292;4,9159;13,5688;30,2999;9,52;127.0;293.203.730;38;3.282,96;3.199.324,80;186.0;0,6935;9,8520;9,6649
2017-05-23;IMA-GERAL ex-C;4.413,462391000000;0,7450;-0,8472;4,7816;14,5028;30,4616;96,55;819.0;2.972.826.138;1.793;26.088,75;33.721.250,11;1.4509999999999998;40,5884;--;--
2017-05-23;IMA-S;3.930,632636000000;0,0423;0,6825;4,5761;13,2356;28,9638;31,43;1.0;967.717.735;261;164,21;1.447.278,90;1.0;0,0000;--;--
2017-05-23;IRF-M 1+;10.690,014755000000;1,1371;-1,8904;5,2231;16,9203;34,2900;26,82;743.0;825.876.605;486;17.872,18;14.542.007,49;1.1520000000000001;12,6473;10,5853;10,8586
2017-05-23;IRF-M;9.955,701406000000;0,8661;-1,2688;5,1285;15,8122;32,7040;36,35;582.0;1.119.080.335;524;21.155,14;17.741.332,29;899.0;9,5153;10,3932;10,7902
2017-05-23;IMA-B 5;4.802,594236000000;0,5934;-0,6775;4,1224;11,4878;30,6693;9,37;662.0;288.410.450;734;3.843,47;11.675.389,78;975.0;10,0879;5,4034;5,5193
2017-05-23;IMA-C;5.037,100191000000;0,5511;-2,3570;3,1122;5,8955;26,4763;3,45;1.501;106.090.445;--;--;--;2.46;57,4065;5,9207;5,6861
2017-05-24;IMA-B 5;4.814,880269000000;0,2558;-0,4234;4,3888;11,8244;31,0036;9,36;662.0;289.148.264;481;3.127,13;9.542.474,46;975.0;10,0953;5,3259;5,4318
2017-05-24;IMA-GERAL ex-C;4.430,301183000000;0,3815;-0,4689;5,1814;14,9210;30,9593;96,55;819.0;2.984.168.436;1.471;22.699,20;31.259.322,24;1.4509999999999998;40,5489;--;--
2017-05-24;IMA-B;5.099,647098000000;0,2447;-1,7616;4,6720;14,0841;30,2200;28,74;2.009;888.196.441;784;4.357,00;13.370.155,92;3.7260000000000004;123,9261;5,5357;5,6043
2017-05-24;IMA-GERAL;4.457,067382000000;0,3821;-0,5211;5,1258;14,5922;30,8282;100,00;843.0;3.090.681.869;1.471;22.699,20;31.259.322,24;1.485;41,1367;--;--
2017-05-24;IMA-S;3.932,327576000000;0,0431;0,7259;4,6212;13,2250;29,0194;31,32;1.0;968.135.028;208;154,55;1.362.531,44;1.0;0,0000;--;--
2017-05-24;IMA-B 5+;5.908,315128000000;0,2394;-2,3805;4,9065;15,7430;31,1208;19,38;2.659;599.048.177;536;2.140,66;6.619.819,59;5.053999999999999;178,8698;5,6370;5,6250
2017-05-24;IRF-M 1+;10.800,782028000000;1,0362;-0,8738;6,3134;18,1101;35,6815;27,00;747.0;834.434.133;383;10.604,07;9.154.780,03;1.155;12,8615;10,2639;10,4919
2017-05-24;IMA-C;5.057,183358000000;0,3987;-1,9677;3,5233;6,3707;26,9805;3,45;1.5030000000000001;106.513.433;--;--;--;2.46;57,6068;5,8457;5,6132
2017-05-24;IRF-M 1;9.277,832553000000;0,0679;0,5975;4,9871;13,5826;30,3884;9,49;126.0;293.402.835;96;7.583,59;7.371.854,86;185.0;0,6879;9,7951;9,5965
2017-05-24;IRF-M;10.033,603251000000;0,7825;-0,4962;5,9511;16,6823;33,7424;36,49;586.0;1.127.836.967;479;18.187,66;16.526.634,88;903.0;9,6946;10,1419;10,4416
2017-05-25;IMA-B 5;4.814,635945000000;-0,0051;-0,4285;4,3835;11,8554;30,9539;9,35;661.0;289.133.591;597;1.834,98;5.631.839,02;974.0;10,0710;5,3503;5,4506
2017-05-25;IMA-S;3.934,095176000000;0,0450;0,7712;4,6683;13,2162;29,0142;31,32;1.0;968.570.209;206;125,90;1.110.342,09;1.0;0,0000;--;--
2017-05-25;IMA-B;5.104,695785000000;0,0990;-1,6644;4,7756;14,3833;30,7507;28,75;2.011;889.075.761;950;2.639,80;8.158.979,92;3.7289999999999996;124,2681;5,5399;5,5968
2017-05-25;IMA-B 5+;5.917,132440000000;0,1492;-2,2348;5,0630;16,2015;31,9025;19,40;2.662;599.942.170;685;1.673,34;5.204.273,03;5.0569999999999995;179,3038;5,6313;5,6143
2017-05-25;IRF-M;10.033,958372000000;0,0035;-0,4927;5,9548;16,8426;33,8264;36,48;584.0;1.127.876.885;410;14.063,27;12.570.040,53;902.0;9,6673;10,1456;10,4585
2017-05-25;IMA-C;5.062,168729000000;0,0986;-1,8710;3,6254;6,6625;27,5247;3,45;1.5030000000000001;106.618.434;--;--;--;2.46;57,6418;5,8339;5,5934
2017-05-25;IMA-GERAL ex-C;4.432,311957000000;0,0454;-0,4237;5,2292;15,0764;31,1724;96,55;820.0;2.985.522.855;1.566;16.828,97;21.839.362,54;1.4509999999999998;40,6586;--;--
2017-05-25;IRF-M 1;9.281,984336000000;0,0447;0,6425;5,0341;13,5766;30,3623;9,49;125.0;293.534.131;48;5.583,07;5.458.177,25;184.0;0,6815;9,7756;9,5780
2017-05-25;IMA-GERAL;4.459,172010000000;0,0472;-0,4742;5,1754;14,7533;31,0554;100,00;843.0;3.092.141.290;1.566;16.828,97;21.839.362,54;1.486;41,2442;--;--
2017-05-25;IRF-M 1+;10.799,599239000000;-0,0110;-0,8847;6,3017;18,3656;35,8449;26,98;746.0;834.342.754;362;8.480,20;7.111.863,28;1.1540000000000001;12,8286;10,2758;10,5106
2017-05-26;IMA-GERAL ex-C;4.444,934952000000;0,2848;-0,1401;5,5288;15,4041;31,5880;96,56;823.0;2.994.025.470;1.095;7.985,65;13.026.604,89;1.455;40,9833;--;--
2017-05-26;IRF-M 1;9.293,500427000000;0,1241;0,7674;5,1644;13,7175;30,4516;9,48;124.0;293.898.317;46;2.515,16;2.457.341,59;183.0;0,6776;9,6108;9,3835
2017-05-26;IRF-M 1+;10.849,787451000000;0,4647;-0,4241;6,7957;18,9157;36,4865;27,03;745.0;838.220.136;221;3.091,23;2.816.788,73;1.153;12,8357;10,0793;10,3525
2017-05-26;IRF-M;10.071,692732000000;0,3761;-0,1185;6,3533;17,2820;34,3086;36,51;584.0;1.132.118.453;267;5.606,40;5.274.130,32;901.0;9,6795;9,9576;10,2989
2017-05-26;IMA-B 5;4.824,236812000000;0,1994;-0,2299;4,5916;12,0785;30,9806;9,34;660.0;289.710.153;345;1.555,73;4.766.373,43;973.0;10,0695;5,2959;5,3875
2017-05-26;IMA-B 5+;5.949,275942000000;0,5432;-1,7037;5,6337;16,8327;32,9969;19,45;2.6689999999999996;603.201.222;456;1.079,80;3.365.603,26;5.061;180,4199;5,5791;5,5644
2017-05-26;IMA-B;5.126,718250000000;0,4314;-1,2401;5,2276;14,8767;31,5131;28,80;2.017;892.911.375;660;2.307,68;7.121.005,50;3.734;125,1488;5,4872;5,5456
2017-05-26;IMA-S;3.935,823184000000;0,0439;0,8154;4,7142;13,2659;29,0076;31,25;1.0;968.995.643;168;71,57;631.469,07;1.0;0,0000;--;--
2017-05-26;IMA-C;5.069,015394000000;0,1353;-1,7383;3,7655;6,8068;27,7262;3,44;1.5030000000000001;106.762.637;--;--;--;2.459;57,6720;5,8005;5,5671
2017-05-26;IMA-GERAL;4.471,641573000000;0,2796;-0,1959;5,4696;15,0742;31,4633;100,00;846.0;3.100.788.108;1.095;7.985,65;13.026.604,89;1.489;41,5579;--;--
2017-05-29;IMA-B;5.139,723731000000;0,2537;-0,9896;5,4946;15,6608;31,9753;28,81;2.017;895.176.516;907;4.530,61;13.953.549,42;3.7310000000000003;125,2162;5,4410;5,5178
2017-05-29;IMA-B 5+;5.964,823831000000;0,2613;-1,4468;5,9098;17,9131;33,5707;19,47;2.67;604.777.634;530;1.672,08;5.202.100,60;5.056;180,5075;5,5495;5,5426
2017-05-29;IMA-GERAL ex-C;4.453,669367000000;0,1965;0,0561;5,7362;15,8583;31,7395;96,56;823.0;2.999.908.810;1.329;10.016,52;19.829.770,44;1.454;41,0410;--;--
2017-05-29;IMA-S;3.937,608040000000;0,0453;0,8611;4,7617;13,2577;28,8765;31,20;1.0;969.435.072;207;96,00;847.310,71;1.0;0,0000;--;--
2017-05-29;IMA-GERAL;4.480,459072000000;0,1972;0,0009;5,6775;15,5345;31,6217;100,00;847.0;3.106.902.461;1.329;10.016,52;19.829.770,44;1.4880000000000002;41,6162;--;--
2017-05-29;IRF-M 1;9.299,974875000000;0,0697;0,8376;5,2377;13,7370;30,4085;9,47;123.0;294.103.065;33;1.110,31;1.082.188,85;180.0;0,6721;9,5465;9,3074
2017-05-29;IRF-M;10.099,972086000000;0,2808;0,1620;6,6519;17,8262;34,4420;36,54;584.0;1.135.297.221;215;5.389,91;5.028.910,30;899.0;9,7142;9,8565;10,1851
2017-05-29;IRF-M 1+;10.888,282690000000;0,3548;-0,0708;7,1747;19,6989;36,6605;27,08;745.0;841.194.156;182;4.279,60;3.946.721,45;1.151;12,8755;9,9649;10,2359
2017-05-29;IMA-B 5;4.835,705505000000;0,2377;0,0073;4,8403;12,4180;31,1879;9,35;659.0;290.398.883;582;3.672,62;11.269.583,97;970.0;10,0680;5,2149;5,3087
2017-05-29;IMA-C;5.079,983786000000;0,2164;-1,5257;3,9901;7,4000;28,0363;3,44;1.504;106.993.651;--;--;--;2.457;57,7445;5,7641;5,5264
2017-05-30;IMA-GERAL;4.472,325756000000;-0,1815;-0,1806;5,4857;15,0156;31,3827;100,00;841.0;3.101.262.543;1.083;11.659,23;18.503.067,81;1.482;41,0798;--;--
2017-05-30;IMA-GERAL ex-C;4.445,882323000000;-0,1748;-0,1188;5,5513;15,3513;31,5091;96,56;817.0;2.994.663.602;1.083;11.659,23;18.503.067,81;1.4469999999999998;40,4943;--;--
2017-05-30;IMA-S;3.939,349008000000;0,0442;0,9057;4,8080;13,2511;28,9334;31,27;1.0;969.863.697;265;115,47;1.019.569,97;1.0;0,0000;--;--
2017-05-30;IMA-C;5.061,243245000000;-0,3689;-1,8890;3,6064;6,5950;27,5639;3,44;1.5;106.598.942;--;--;--;2.454;57,5302;5,8007;5,5631
2017-05-30;IMA-B 5+;5.925,544163000000;-0,6585;-2,0958;5,2124;16,5730;32,6911;19,37;2.656;600.795.041;403;950,22;2.972.178,51;5.048;178,7518;5,6216;5,6129
2017-05-30;IMA-B 5;4.827,810244000000;-0,1633;-0,1560;4,6691;12,0832;30,9737;9,35;658.0;289.924.748;335;2.438,44;7.485.017,75;969.0;10,0201;5,2918;5,3911
2017-05-30;IRF-M;10.089,144323000000;-0,1072;0,0546;6,5376;17,2842;34,2979;36,57;583.0;1.134.080.116;155;8.515,98;8.144.043,90;898.0;9,6717;9,9253;10,2541
2017-05-30;IRF-M 1;9.300,939799000000;0,0104;0,8480;5,2486;13,6698;30,4220;9,48;122.0;294.133.580;48;6.617,39;6.421.827,70;179.0;0,6647;9,5832;9,3636
2017-05-30;IRF-M 1+;10.872,133695000000;-0,1483;-0,2190;7,0157;18,9269;36,4578;27,08;744.0;839.946.536;107;1.898,59;1.722.216,20;1.15;12,8258;10,0450;10,3054
2017-05-30;IMA-B;5.114,135093000000;-0,4979;-1,4825;4,9693;14,6871;31,3183;28,72;2.006;890.719.789;663;3.027,77;9.339.453,94;3.72;123,8305;5,5142;5,5892
2017-05-31;IMA-B 5+;5.944,903324000000;0,3267;-1,7760;5,5561;17,4265;33,1247;19,40;2.657;602.757.880;365;1.540,23;4.791.317,73;5.046;178,9811;5,5822;5,5845
2017-05-31;IMA-B 5;4.839,429848000000;0,2407;0,0843;4,9210;12,3722;31,2889;9,35;657.0;290.622.541;359;2.071,00;6.376.150,20;968.0;10,0197;5,2092;5,3110
2017-05-31;IRF-M;10.114,090079000000;0,2473;0,3020;6,8010;17,6704;34,6299;36,59;583.0;1.136.884.168;189;11.917,01;10.620.295,06;898.0;9,7032;9,8409;10,1559
2017-05-31;IRF-M 1;9.306,693254000000;0,0619;0,9104;5,3137;13,6852;30,5027;9,47;121.0;294.315.527;39;3.276,60;3.197.229,18;178.0;0,6589;9,5260;9,3038
